2026-03-12 15:23:15,474 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:23:15,475 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:23:15,475 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:23:15,477 | INFO | transform.transformers | Rows before: 2, rows after: 1
2026-03-12 15:23:15,477 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:23:15,478 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:23:15,478 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:23:15,480 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:23:15,480 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:32:46,496 | INFO | loaders.csv_loader | Data saved to /tmp/pytest-of-alexander/pytest-1/test_csv_loader_saves_file0/output.csv
2026-03-12 15:32:46,497 | INFO | loaders.csv_loader | Data saved to /tmp/pytest-of-alexander/pytest-1/test_csv_loader_saves_correct_0/output.csv
2026-03-12 15:32:46,500 | INFO | transform.transformers | Rows before: 3, rows after: 1
2026-03-12 15:32:46,500 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:32:46,501 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:32:46,502 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:32:46,503 | INFO | transform.transformers | Rows before: 2, rows after: 1
2026-03-12 15:32:46,503 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:32:46,505 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:32:46,505 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:32:46,506 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:32:46,506 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:34:42,375 | INFO | loaders.csv_loader | Data saved to /tmp/pytest-of-alexander/pytest-2/test_csv_loader_saves_file0/output.csv
2026-03-12 15:34:42,377 | INFO | loaders.csv_loader | Data saved to /tmp/pytest-of-alexander/pytest-2/test_csv_loader_saves_correct_0/output.csv
2026-03-12 15:34:42,379 | INFO | sources.csv_source | Loading CSV file: /tmp/pytest-of-alexander/pytest-2/test_csv_source_loads_data0/input.csv
2026-03-12 15:34:42,379 | INFO | sources.csv_source | Loaded 2 rows from /tmp/pytest-of-alexander/pytest-2/test_csv_source_loads_data0/input.csv
2026-03-12 15:34:42,381 | INFO | transform.transformers | Rows before: 3, rows after: 1
2026-03-12 15:34:42,381 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:34:42,383 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:34:42,383 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:34:42,384 | INFO | transform.transformers | Rows before: 2, rows after: 1
2026-03-12 15:34:42,384 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:34:42,386 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:34:42,386 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:34:42,387 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:34:42,387 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:35:34,399 | INFO | loaders.csv_loader | Data saved to /tmp/pytest-of-alexander/pytest-3/test_csv_loader_saves_file0/output.csv
2026-03-12 15:35:34,400 | INFO | loaders.csv_loader | Data saved to /tmp/pytest-of-alexander/pytest-3/test_csv_loader_saves_correct_0/output.csv
2026-03-12 15:35:34,403 | INFO | sources.csv_source | Loading CSV file: /tmp/pytest-of-alexander/pytest-3/test_csv_source_loads_data0/input.csv
2026-03-12 15:35:34,403 | INFO | sources.csv_source | Loaded 2 rows from /tmp/pytest-of-alexander/pytest-3/test_csv_source_loads_data0/input.csv
2026-03-12 15:35:34,405 | INFO | etl.pipeline | Pipeline started
2026-03-12 15:35:34,405 | INFO | sources.csv_source | Loading CSV file: /tmp/pytest-of-alexander/pytest-3/test_pipeline_runs0/input.csv
2026-03-12 15:35:34,405 | INFO | sources.csv_source | Loaded 2 rows from /tmp/pytest-of-alexander/pytest-3/test_pipeline_runs0/input.csv
2026-03-12 15:35:34,408 | INFO | etl.pipeline | Data loaded
2026-03-12 15:35:34,409 | INFO | transform.transformers | Rows before: 2, rows after: 1
2026-03-12 15:35:34,409 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:35:34,411 | INFO | etl.pipeline | Data transformed
2026-03-12 15:35:34,411 | INFO | loaders.csv_loader | Data saved to /tmp/pytest-of-alexander/pytest-3/test_pipeline_runs0/output.csv
2026-03-12 15:35:34,411 | INFO | etl.pipeline | Data saved
2026-03-12 15:35:34,411 | INFO | etl.pipeline | Pipeline process completed
2026-03-12 15:35:34,413 | INFO | transform.transformers | Rows before: 3, rows after: 1
2026-03-12 15:35:34,413 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:35:34,415 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:35:34,415 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:35:34,416 | INFO | transform.transformers | Rows before: 2, rows after: 1
2026-03-12 15:35:34,417 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:35:34,418 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:35:34,418 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:35:34,420 | INFO | transform.transformers | Rows before: 2, rows after: 2
2026-03-12 15:35:34,420 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:37:58,778 | INFO | loaders.csv_loader | Data saved to /tmp/pytest-of-alexander/pytest-4/test_csv_loader_saves_file0/output.csv
2026-03-12 15:37:58,779 | INFO | loaders.csv_loader | Data saved to /tmp/pytest-of-alexander/pytest-4/test_csv_loader_saves_correct_0/output.csv
2026-03-12 15:37:58,782 | INFO | sources.csv_source | Loading CSV file: /tmp/pytest-of-alexander/pytest-4/test_csv_source_loads_data0/input.csv
2026-03-12 15:37:58,782 | INFO | sources.csv_source | Loaded 2 rows from /tmp/pytest-of-alexander/pytest-4/test_csv_source_loads_data0/input.csv
2026-03-12 15:37:58,783 | INFO | etl.pipeline | Pipeline started
2026-03-12 15:37:58,784 | INFO | sources.csv_source | Loading CSV file: /tmp/pytest-of-alexander/pytest-4/test_pipeline_runs0/input.csv
2026-03-12 15:37:58,784 | INFO | sources.csv_source | Loaded 2 rows from /tmp/pytest-of-alexander/pytest-4/test_pipeline_runs0/input.csv
2026-03-12 15:37:58,787 | INFO | etl.pipeline | Data loaded
2026-03-12 15:37:58,788 | INFO | transform.transformers | Rows before: 2, rows after: 1
2026-03-12 15:37:58,788 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:37:58,790 | INFO | etl.pipeline | Data transformed
2026-03-12 15:37:58,790 | INFO | loaders.csv_loader | Data saved to /tmp/pytest-of-alexander/pytest-4/test_pipeline_runs0/output.csv
2026-03-12 15:37:58,790 | INFO | etl.pipeline | Data saved
2026-03-12 15:37:58,790 | INFO | etl.pipeline | Pipeline process completed
2026-03-12 15:37:58,792 | INFO | transform.transformers | Rows before: 3, rows after: 1
2026-03-12 15:37:58,792 | INFO | transform.transformers | Data transformed successfully
2026-03-12 15:37:58,793 | INFO | transform.transformers | Rows before: 2, rows after: 2
